label,merged_label,latitude,longitude,year,example_path
Timber plantation,Plantation,4.430849118860583,96.1016343478138,2014,examples/4.430849118860583_96.1016343478138
Other,Other,1.3323406178609702,109.37422873130464,2012,examples/1.3323406178609702_109.37422873130464
Grassland shrubland,Grassland shrubland,-1.7202663845775041,115.00699582064483,2016,examples/-1.7202663845775041_115.00699582064483
Small-scale agriculture,Smallholder agriculture,-2.248346072674411,104.1357857482906,2011,examples/-2.248346072674411_104.1357857482906
Other large-scale plantations,Plantation,-2.100800102991412,113.02237632340159,2008,examples/-2.100800102991412_113.02237632340159
Small-scale mixed plantation,Smallholder agriculture,0.0941051778843815,103.68303388726335,2004,examples/0.0941051778843815_103.68303388726335
Grassland shrubland,Grassland shrubland,-2.7091489238834305,113.3407801546713,2016,examples/-2.7091489238834305_113.3407801546713
Timber plantation,Plantation,-0.6522445100247509,109.9206187702712,2012,examples/-0.6522445100247509_109.9206187702712
Timber plantation,Plantation,-2.006610263824605,111.74631577940966,2002,examples/-2.006610263824605_111.74631577940966
Oil palm plantation,Plantation,-1.3478682873694396,110.52786683455288,2014,examples/-1.3478682873694396_110.52786683455288
Small-scale agriculture,Smallholder agriculture,-7.436785655107242,107.7618116514494,2005,examples/-7.436785655107242_107.7618116514494
Grassland shrubland,Grassland shrubland,-2.8852555512190485,111.5840999668356,2016,examples/-2.8852555512190485_111.5840999668356
Oil palm plantation,Plantation,1.4774512967491982,109.7903991761138,2007,examples/1.4774512967491982_109.7903991761138
Small-scale agriculture,Smallholder agriculture,1.4206538293280393,97.28053841092805,2016,examples/1.4206538293280393_97.28053841092805
Small-scale agriculture,Smallholder agriculture,-4.87839699136736,122.86747824260048,2006,examples/-4.87839699136736_122.86747824260048
Timber plantation,Plantation,-7.940738604125353,140.27672249400354,2011,examples/-7.940738604125353_140.27672249400354
Logging,Other,-2.7673565737647525,133.46815242172883,2014,examples/-2.7673565737647525_133.46815242172883
Timber plantation,Plantation,1.188757346053542,101.52014430444773,2009,examples/1.188757346053542_101.52014430444773
Mining,Other,-1.604000236497884,113.60387035442801,2007,examples/-1.604000236497884_113.60387035442801
Timber plantation,Plantation,0.8838358498021371,109.1683696524446,2010,examples/0.8838358498021371_109.1683696524446
Timber plantation,Plantation,0.7361960768988108,101.93419189956509,2005,examples/0.7361960768988108_101.93419189956509
